#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","Immersive Harvesting VR",186754,"https://www.nexusmods.com/skyrimspecialedition/mods/186754","1.3.7.0","Immersive Harvesting 1.3.7 186754 1.3.7 2026-08-15T16-45Z s6Og0dF7F.zip"
"+","Immersive Harvesting - Rock Warbler Nests and Eggs",148144,"https://www.nexusmods.com/skyrimspecialedition/mods/148144","1.0.0.0","Immersive Harvesting - Rock Warbler Nests and Eggs-148144-1-0-1745074340.zip"
"+","Immersive Gathering (Woodchopping and Mining) SE -VR FRIENDLY",29710,"https://www.nexusmods.com/skyrimspecialedition/mods/29710","1.9.0.0a","IGWM .esp flagged as .esl-29710-1-9a-1760997576.zip"
"+","Bard VR",144669,"https://www.nexusmods.com/skyrimspecialedition/mods/144669","1.0.0.0","Bard vr (beta)-144669-1-0-1742383560.zip"
"+","Bard VR - Louder Instruments Patch",144669,"https://www.nexusmods.com/skyrimspecialedition/mods/144669","1.0.0.0","Bard vr Louder instruments patch-144669-1-0-1742383670.zip"
"+","Immersive Reading",173931,"https://www.nexusmods.com/skyrimspecialedition/mods/173931","f1.07","Immersive Reading-173931-1-07-1780512004.7z"
"+","Physical Collision VR",186335,"https://www.nexusmods.com/skyrimspecialedition/mods/186335","4.1.0.0","PhysicalCollisionVR 4.1.0 186335 4.1.0 2026-08-18T01-04Z n0oTCmRw5.zip"
"-","#UI Overhaul_separator",-1,"","",""
"-","##VR UI & Menu Tweaks_separator",-1,"","",""
"+","Controller Fix VR",123044,"https://www.nexusmods.com/skyrimspecialedition/mods/123044","1.0.1.0","Controller Fix VR-123044-1-0-1-1722892075.rar"
"+","Eagle Eye Cursor Replacer for Skyrim VR",87315,"https://www.nexusmods.com/skyrimspecialedition/mods/87315","0.1.0.0","Eagle Eye Cursor Replacer for Skyrim VR-87315-0-1-1679370970.zip"
"+","Save Unbaker VR",86265,"https://www.nexusmods.com/skyrimspecialedition/mods/86265","1.0.4.0","Save Unbaker VR-86265-1-0-4-1677920693.7z"
"+","Mfg Fix",11669,"https://www.nexusmods.com/skyrimspecialedition/mods/11669","1.6.1.0","MfgFix-11669-1-6-1-1664520342.7z"
"+","Mfg Fix NG",133568,"https://www.nexusmods.com/skyrimspecialedition/mods/133568","1.0.9.0","MfgFix NG-133568-1-0-9-1778493989.zip"
"+","VR Equip",83092,"https://www.nexusmods.com/skyrimspecialedition/mods/83092","1.3.2.0","VR Equip-83092-1-3-2-1677962952.zip"
